"","PHI","MSE","MAPE","CRPS_v"
"1",0,21.0265390367873,0.160599868294103,2.29338313049335
"2",0.05,20.4521130881871,0.159578041091408,2.25735930117561
"3",0.1,18.862338238736,0.158140369288518,2.21570844226769
"4",0.15,19.6339231220723,0.163163106568727,2.30257943738448
"5",0.2,22.6254484538748,0.177383288126344,2.52463635692605
"6",0.25,27.0700203484241,0.195599421395762,2.80450045142357
