"","nosie_level","MSE"
"0",0,0.176423530065445
"0.01",0.01,0.176415912901483
"0.02",0.02,0.0814975144007538
"0.1",0.1,0.0106093238211306
"0.2",0.2,0.0208277026082344
"0.25",0.25,0.0438890566036054
"0.3",0.3,0.105363887197348
