"","nosie_level","MSE"
"0",0,0.183142685876293
"0.01",0.01,0.183143698135017
"0.02",0.02,0.107851400624825
"0.1",0.1,0.017831068783442
"0.15",0.15,0.0297442443753379
"0.2",0.2,0.0573244133312361
"0.25",0.25,0.126279350946579
