"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","mean","sd","SKO"
"336151",0.416,0.49,0,0.094,0,0,0,0,0,0,0,0.444410091,0.303035919,0.173641941,0.648648649,0.25,28.0003426511265,2.98481385316443,0.0631768432089901
"252829",0.414,0.472,0.014,0.1,0,0,0,0,0,0,0,0.44860581,0.346656959,0.242364956,0.635135135,0.5,27.1881241285099,3.35549987706271,0.0631704960643774
"52554",0.4,0.476,0,0.116,0,0,0,0.008,0,0,0,0.500116892,0.30931074,0.234645162,0.556756757,0.5,26.6389880299711,3.60378859214368,0.0631684816604801
"139218",0.382,0.48,0,0.128,0,0,0,0.01,0,0,0,0.539014657,0.302810873,0.249926751,0.594594595,0.5,27.1495735140203,3.3729665882362,0.0631682820543252
"168529",0.348,0.474,0.008,0.17,0,0,0,0,0,0,0,0.632900878,0.2761698,0.270356014,0.594594595,0.5,27.757314975908,3.09606069962174,0.0631632220461126
"225892",0.344,0.484,0,0.16,0,0,0,0.012,0,0,0,0.629341017,0.281468538,0.274885012,0.632432432,0.5,28.4270828188456,2.78807095083598,0.063162787441278
"91999",0.29,0.478,0,0.226,0,0,0,0.006,0,0,0,0.769808939,0.222633483,0.27758844,0.567567568,0.5,28.8465514106043,2.59351041054754,0.0631622857924453
"139198",0.422,0.48,0,0.088,0,0,0,0.01,0,0,0,0.426082448,0.332640544,0.213440139,0.594594595,0.5,26.08172624107,3.85388582832938,0.0631602208286475
"42289",0.334,0.472,0.004,0.19,0,0,0,0,0,0,0,0.675162952,0.251691819,0.264649489,0.540540541,0.5,28.7124806274808,2.65575203585799,0.0631533451366845
"7927",0.374,0.474,0,0.146,0,0,0,0.006,0,0,0,0.575330337,0.284103786,0.250114531,0.535135135,0.5,27.1711371652029,3.36300399509996,0.0631523501934842
"84365",0.414,0.472,0.006,0.108,0,0,0,0,0,0,0,0.468193581,0.317731003,0.221156533,0.559459459,0.5,26.2829872911165,3.7635981235373,0.063149642171653
"5305",0.368,0.474,0,0.154,0,0,0,0.004,0,0,0,0.593309843,0.274099373,0.246963481,0.52972973,0.5,26.8716654265329,3.49855522881549,0.0631476507411067
"252842",0.388,0.472,0.014,0.126,0,0,0,0,0,0,0,0.520765383,0.32706116,0.26508543,0.635135135,0.5,27.7789238799435,3.08600515267455,0.0631476153920979
"294370",0.352,0.484,0.004,0.16,0,0,0,0,0,0,0,0.618245898,0.267238549,0.245181227,0.637837838,0.5,28.5728202430901,2.72045930003696,0.0631460332930864
"42458",0.4,0.468,0.008,0.124,0,0,0,0,0,0,0,0.508139584,0.313822258,0.244242573,0.545945946,0.5,26.8549455887798,3.5060793177054,0.0631449779575347
"7950",0.328,0.474,0,0.192,0,0,0,0.006,0,0,0,0.6875836,0.250307122,0.272299632,0.535135135,0.5,28.2425530797327,2.87302622822579,0.063141857679119
"287",0.308,0.47,0.004,0.218,0,0,0,0,0,0,0,0.735317758,0.232567293,0.273704959,0.524324324,0.5,27.636873657516,3.15085923436021,0.063139521481494
"52536",0.436,0.476,0,0.08,0,0,0,0.008,0,0,0,0.397091426,0.335903274,0.198082317,0.556756757,0.5,25.6482447026584,4.0469984473469,0.0631335814406492
