"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","dor.mix","ar_c.mix","A.mix","Dens.mix","S.mix","r.atom.mix","delta.r.mix","mismatch.x.mix","lamda.mix","H.mix","Tm.mix","ou.mix","x.mix","delta.x.mix","VEC.mix","ea.mix","energy.cohesive.mix","YM.mix","numa","anum","cs","volume","EBE","es"
"672257",0.496,0.504,0,0,0,0,0,0,0,0,0,0.0175895765472313,0.0623423423423429,0.00100977295473793,0.00584501316038773,0,0.0116640905068158,0.143586058012079,0.00884393617046122,0.987148367906249,0.373523960815462,0.283766850935894,0,1,0.0228638543229574,0.762162162162162,0.914284227071767,0.263495838287752,0.889529298751201,0,1.04322286316535e-05,0.000339945151259631,0,1.04928309116334e-05,-21.24
"672258",0.297,0.503,0,0.15,0.05,0,0,0,0,0,0,0.616702859211003,0.632342342342342,0.555636143572653,0.549722845670834,0.55514334834591,0.514639249256722,0.775566912506171,0.737228798801815,0.935733136413391,0.179257126467214,0.649640190088256,0.28902024835655,0.445850082761882,0.713771894192791,0.754054054054054,0.381330758442381,0.695628453521718,0.587157319145792,0.5,0.00225576882181352,0.000296853512367566,0.000660669560755003,0.00447182270870159,-16.16
"672259",0.3,0.5,0,0.15,0.05,0,0,0,0,0,0,0.621154542164314,0.63963963963964,0.554809096295922,0.545762508593594,0.557074489021919,0.527828643906734,0.771738852944386,0.737293604513124,0.919320567223257,0.180345953578678,0.652119096110949,0.290775783892882,0.432726412863559,0.71139325531509,0.72972972972973,0.369250943791047,0.697349094215569,0.57784674499372,0.5,0.00225095394706045,0.000287277592613773,0.000673594663666482,0.00446717981028568,-21.08
"672260",0.48,0.5,0,0,0,0.02,0,0,0,0,0,0.0702135360115815,0.111711711711712,0.022872587922228,0.029384237547311,0.104222761479131,0.0159953017369708,0.131093721810889,0.00849207813428022,0.966244445022749,0.388668255229018,0.349839976723887,0.0710218497126972,0.996689524710333,0.0113533200714698,0.756756756756756,0.870679042476711,0.34188990697349,0.86898692086012,0.25,0.000105659751525713,0.000333561204757102,2.12758895662178e-05,0.000133187431441866,-9.862
"672261",0.255,0.495,0,0.25,0,0,0,0,0,0,0,0.800036192544336,0.804954954954954,0.831250222350245,0.835157913491509,0.434236192355319,0.642593506445837,0.837776077480092,0.884531985997296,0.883600014322466,0.182469552554938,0.839162059935991,0.240689450307764,0.251241428233623,0.867709669423028,0.68918918918919,0.153090200133107,0.824718472406798,0.510603709450972,0.25,0.00333965062733806,0.000271317726357453,0.000825983222684523,0.00693551624052403,-23.33
"672262",0.29,0.495,0,0.01,0.205,0,0,0,0,0,0,0.620023525153819,0.667117117117116,0.258440797836671,0.165691607385545,0.477510199482648,0.664310737896463,0.910528393487394,0.704316644208471,0.8816629987124,0.052505295207837,0.461836873242169,0.185390503239448,0.423267912035941,0.671635588096822,0.689189189189189,0.463834732583651,0.69238301741624,0.484002069016479,0.5,0.00111678344967052,0.000244185953721708,0.000824813048758381,0.00150209783534296,-23.22
"672263",0.306,0.49,0,0.204,0,0,0,0,0,0,0,0.66594281577995,0.684504504504504,0.676651037436831,0.683353358975258,0.425639924311233,0.555765364176558,0.729305841971546,0.766683091898002,0.865830655734894,0.219790839290442,0.742469207642324,0.239493471920537,0.359895956490894,0.73936163283691,0.648648648648649,0.266348818983395,0.725271035881654,0.559668957363483,0.25,0.00271639183985727,0.000262699398579038,0.0007026788047035,0.00565101088920325,-30.73
"672264",0.325,0.49,0,0.18,0,0,0,0.005,0,0,0,0.589305103148752,0.610810810810812,0.59723460689178,0.611185994224711,0.442750130521703,0.477338629754847,0.678474449445904,0.697806881315638,0.872838168796047,0.248792030712205,0.69450101832994,0.25520727086418,0.435091038070466,0.668381992388189,0.662162162162162,0.343773968446158,0.666643351752116,0.62347594768344,0.5,0.00239807512007094,0.000271849721899329,0.000608969149109093,0.00498722258360212,-30.01
"672265",0.31,0.49,0,0.15,0.05,0,0,0,0,0,0,0.63599348534202,0.663963963963963,0.552052272040153,0.532636639427141,0.563082810713266,0.57179329274012,0.758521049545388,0.736573541054126,0.864402348802039,0.184979260435972,0.660382116186597,0.296784020340768,0.388980846535821,0.703033428814275,0.648648648648649,0.328984894953271,0.703084563195076,0.546811497820144,0.5,0.00223490436455022,0.000255357860101131,0.000716678340038076,0.00445170348223264,-28.12
"672266",0.36,0.49,0,0.15,0,0,0,0,0,0,0,0.499819037278321,0.528828828828828,0.496783173732081,0.508254319585512,0.383110135415825,0.428031338066942,0.597778251011955,0.603751024630841,0.877259731665717,0.260656605771777,0.624110173601009,0.217775919636179,0.51312366989832,0.579904736487646,0.648648648648649,0.422939008908083,0.605161922081555,0.635483632601789,0.25,0.00199416062689669,0.000271317726357451,0.000532641895290282,0.00415219723455346,-28.12
"672267",0.305,0.49,0,0.15,0.05,0,0.005,0,0,0,0,0.629433586681144,0.653153153153154,0.553461669750561,0.539124478832544,0.59483835634134,0.550330958372247,0.764644946668692,0.737069801005598,0.866315227914509,0.186424410908128,0.657026476578412,0.314874484766886,0.409080160794512,0.705764992418006,0.682432432432433,0.346383804944903,0.69986710498706,0.563991723934088,0.75,0.00224159169059615,0.000268657748648066,0.000695562019643604,0.00445800754636236,-15.75
