"","n_level","MSE_data_mean","sd_MSE","CRPS_data_mean","sd_CRPS"
"V1",1e-05,0.14892546545894,0.00685062625007529,0.210270949939186,0.00668167965025204
"V2",0.05,0.00940137933372644,0.00152018668416046,0.042796854020782,0.00238802458599965
"V3",0.1,0.0110364989977973,0.00154783594831449,0.0488388471670217,0.00232426620834356
"V4",0.15,0.0154008785182675,0.00189719886572609,0.0623326008511381,0.00263192119479505
"V5",0.2,0.0230134163857673,0.00257627192662355,0.080171309621278,0.0035054089112953
"V6",0.3,0.0509885875490604,0.00546157723273539,0.126983081806088,0.00698768093593138
"V7",0.4,0.0902570119156348,0.00723835965706571,0.178172874122656,0.00856300433819737
"V8",0.5,0.139836123650038,0.00728803471662226,0.233508921326105,0.00813559555790525
"V9",0.6,0.174052289797321,0.00483550669741803,0.265306387050415,0.00498335825199031
"V10",0.7,0.187434714189031,0.00279454574421661,0.272185540882031,0.00262060365387962
