,ti,ni,cu,fe,pd,co,mn,cr,nb,hf,transformation temperature
116,50,30,20,0,0,0,0,0,0,0,55.09081
117,35,50,0,0,0,0,0,0,0,15,254
118,35,47,3,0,0,0,0,0,0,15,190
119,45.24,49,0,0,0,0,0,0,0,5.76,133.99145
120,42.42,49,0,0,0,0,0,0,0,8.58,155.09921
121,40.56,49,0,0,0,0,0,0,0,10.44,172.84468
122,39.58,49,0,0,0,0,0,0,0,11.42,187.13445
123,31,49,0,0,0,0,0,0,0,20,339.74547
124,36,49,0,0,0,0,0,0,0,15,230.46421
125,36,44,5,0,0,0,0,0,0,15,225.594
126,36,46,3,0,0,0,0,0,0,15,201.65308
127,50,37.5,12.5,0,0,0,0,0,0,0,48.69464
128,48.7,51.3,0,0,0,0,0,0,0,0,-48.86
129,49.2,50.8,0,0,0,0,0,0,0,0,25.42
130,49.3,50.7,0,0,0,0,0,0,0,0,35.38
