"","Ti","Ni","Cu","Hf","Zr","Nb","Co","Cr","Fe","Mn","Pd","delta.r.mix","H.mix","ou.mix","VEC.mix","numa","EI","mean","sd"
"169578",0.27,0.454,0.028,0.248,0,0,0,0,0,0,0,0.795174949,0.284175271,0.360663364,0.621621622,0.5,0.0754545710395389,27.6433620890325,3.34613714319816
"99824",0.39,0.478,0,0.12,0,0,0,0.012,0,0,0,0.517072258,0.313897273,0.251568003,0.583783784,0.5,0.0754494827555128,25.8424109161443,4.21268302591027
"43422",0.29,0.45,0.026,0.234,0,0,0,0,0,0,0,0.757763027,0.292960021,0.358202649,0.57027027,0.5,0.0754483607502515,27.0487235196804,3.63609166216995
"223232",0.414,0.484,0,0.092,0,0,0,0.01,0,0,0,0.441420014,0.328286118,0.216486692,0.627027027,0.5,0.0754476946645942,25.9929445967361,4.14148129740984
"215333",0.462,0.484,0,0.05,0,0,0,0.004,0,0,0,0.307827843,0.346710793,0.138887044,0.610810811,0.5,0.0754451166798074,24.6307260129491,4.77870789252259
"1098",0.302,0.454,0.02,0.224,0,0,0,0,0,0,0,0.737397582,0.282011296,0.33763208,0.545945946,0.5,0.0754407514683412,27.8675998423541,3.23549931467469
"13178",0.372,0.474,0,0.144,0,0,0,0.01,0,0,0,0.574626448,0.293881387,0.263652138,0.545945946,0.5,0.0754393815476502,26.8193558153829,3.74677540183983
"126697",0.386,0.468,0.012,0.134,0,0,0,0,0,0,0,0.536589219,0.317548319,0.2660343,0.583783784,0.5,0.0754343405294335,25.9683288885794,4.15299256532554
"173326",0.446,0.482,0,0.068,0,0,0,0.004,0,0,0,0.362828624,0.333897273,0.165338547,0.594594595,0.5,0.0754236424545201,24.6283234244542,4.77956578946788
"42910",0.304,0.46,0.016,0.22,0,0,0,0,0,0,0,0.734505886,0.269928515,0.321018761,0.556756757,0.5,0.0754159618431982,27.6255125467385,3.35454985735751
"15814",0.35,0.474,0,0.164,0,0,0,0.012,0,0,0,0.627591848,0.283306857,0.28197981,0.551351351,0.5,0.0754147808559629,27.2157528668951,3.55473229435602
"210279",0.272,0.482,0.002,0.244,0,0,0,0,0,0,0,0.807478747,0.199648751,0.260074545,0.602702703,0.5,0.0754130179123801,29.1914711457565,2.56739088535308
"215348",0.432,0.484,0,0.08,0,0,0,0.004,0,0,0,0.400961589,0.324232636,0.179797519,0.610810811,0.5,0.0754119771175353,25.5426089889211,4.35344266354128
"85848",0.276,0.444,0.034,0.246,0,0,0,0,0,0,0,0.780589156,0.308819169,0.383733995,0.597297297,0.5,0.0754107781448419,26.6950837093479,3.80626695229091
"223214",0.45,0.484,0,0.056,0,0,0,0.01,0,0,0,0.331003,0.35535522,0.171558616,0.627027027,0.5,0.0754107212673168,24.9848776261246,4.61405826003653
"173328",0.442,0.482,0,0.072,0,0,0,0.004,0,0,0,0.37506251,0.330912541,0.170533965,0.594594595,0.5,0.0754055043482408,24.7190946103,4.73734577272243
"126202",0.366,0.478,0.002,0.154,0,0,0,0,0,0,0,0.594747306,0.269066278,0.236182545,0.57027027,0.5,0.0753924749121045,26.6199854528157,3.84212626895242
"211124",0.4,0.464,0.02,0.116,0,0,0,0,0,0,0,0.487347538,0.355544965,0.279608396,0.627027027,0.5,0.0753871484798065,26.4286214732516,3.93365669097409
"168179",0.442,0.48,0.002,0.076,0,0,0,0,0,0,0,0.382577317,0.326083311,0.167112164,0.586486486,0.5,0.0753818216634276,24.5440903266816,4.81799787892319
"1918",0.278,0.438,0.036,0.248,0,0,0,0,0,0,0,0.776876733,0.317640985,0.393685563,0.567567568,0.5,0.0753812009440568,26.8312455684448,3.7404692377955
"170387",0.268,0.438,0.044,0.25,0,0,0,0,0,0,0,0.788393287,0.335124879,0.4119487,0.643243243,0.5,0.0753704548011722,27.3792908243603,3.47466005980701
"91971",0.346,0.478,0,0.17,0,0,0,0.006,0,0,0,0.640351652,0.264123202,0.261254832,0.567567568,0.5,0.075369717035374,27.5107644774629,3.41038840612466
"84604",0.34,0.468,0.01,0.182,0,0,0,0,0,0,0,0.655105094,0.276451328,0.285866557,0.564864865,0.5,0.0753662781132687,27.2793049116147,3.5233533925467
"259",0.364,0.47,0.004,0.162,0,0,0,0,0,0,0,0.605640784,0.273612214,0.253241735,0.524324324,0.5,0.0753621656619289,26.1060904581913,4.08693887045196
"126812",0.358,0.466,0.014,0.162,0,0,0,0,0,0,0,0.606640994,0.303412761,0.291007768,0.586486486,0.5,0.0753581028871216,26.3939376290553,3.94991692500835
"211109",0.43,0.464,0.02,0.086,0,0,0,0,0,0,0,0.402064689,0.378102551,0.24987789,0.627027027,0.5,0.0753574062203972,25.7611135034573,4.25004208726652
"42915",0.294,0.46,0.016,0.23,0,0,0,0,0,0,0,0.756097868,0.2625417,0.322503933,0.556756757,0.5,0.0753531532382237,27.6853280867321,3.32457515533062
"253130",0.418,0.466,0.02,0.096,0,0,0,0,0,0,0,0.433119553,0.369629335,0.260030716,0.643243243,0.5,0.0753513241377786,26.4604127697637,3.91809948265114
"223213",0.452,0.484,0,0.054,0,0,0,0.01,0,0,0,0.324591425,0.356859059,0.168569213,0.627027027,0.5,0.0753309950244287,24.9323518751807,4.63755644283855
"57841",0.326,0.476,0,0.186,0,0,0,0.012,0,0,0,0.683648009,0.265923573,0.290234503,0.567567568,0.5,0.0753178215538862,27.6798441806147,3.3269478229798
"196977",0.394,0.482,0,0.102,0,0,0,0.022,0,0,0,0.478472126,0.347637455,0.267099096,0.643243243,0.5,0.0753154474690972,26.8794290611268,3.71659244051912
"173327",0.444,0.482,0,0.07,0,0,0,0.004,0,0,0,0.368959818,0.332404907,0.167960791,0.594594595,0.5,0.0753130447725807,24.6712834261915,4.75839098633324
"252398",0.266,0.482,0.004,0.248,0,0,0,0,0,0,0,0.817556672,0.202043068,0.268144628,0.621621622,0.5,0.075311211964757,28.5370921329146,2.90023729883918
"139215",0.388,0.48,0,0.122,0,0,0,0.01,0,0,0,0.522703939,0.307285323,0.245322333,0.594594595,0.5,0.0753075162103296,26.1727567340647,4.054709262171
"210296",0.44,0.48,0.004,0.076,0,0,0,0,0,0,0,0.383046316,0.332034242,0.176051735,0.605405405,0.5,0.0753050028590034,25.2896518344826,4.47075579874101
"169577",0.272,0.454,0.028,0.246,0,0,0,0,0,0,0,0.791009442,0.285676463,0.360671176,0.621621622,0.5,0.075302432455933,27.6736303140491,3.32986169653698
"128270",0.27,0.438,0.042,0.25,0,0,0,0,0,0,0,0.786568362,0.330360074,0.40747621,0.624324324,0.5,0.0752993142312967,26.83961694475,3.7356222039186
"576",0.336,0.464,0.01,0.19,0,0,0,0,0,0,0,0.6682756,0.273378343,0.291313059,0.532432432,0.5,0.0752911448109017,27.3410927541416,3.49253951442534
"210225",0.38,0.482,0.002,0.136,0,0,0,0,0,0,0,0.553165061,0.280427147,0.222989989,0.602702703,0.5,0.0752824551153286,26.9061230234554,3.70338995773643
"168178",0.444,0.48,0.002,0.074,0,0,0,0,0,0,0,0.376565678,0.32757303,0.164622187,0.586486486,0.5,0.0752818698960315,24.4990345804295,4.8376078460623
"47309",0.39,0.476,0,0.13,0,0,0,0.004,0,0,0,0.533797281,0.290599241,0.230088345,0.545945946,0.5,0.075280196436022,26.1015301300378,4.08823558930384
"160",0.36,0.472,0.002,0.166,0,0,0,0,0,0,0,0.616771299,0.26389286,0.245722611,0.521621622,0.5,0.0752758067128383,26.0109351552692,4.13112935983257
"60478",0.302,0.476,0,0.208,0,0,0,0.014,0,0,0,0.737452102,0.253793134,0.302975518,0.572972973,0.5,0.0752670246400738,27.5626766564256,3.3840010266843
"804",0.284,0.46,0.014,0.242,0,0,0,0,0,0,0,0.779638989,0.248640897,0.317665698,0.537837838,0.5,0.0752665517735164,28.8807242120982,2.72564142468581
"13177",0.374,0.474,0,0.142,0,0,0,0.01,0,0,0,0.569442134,0.295354338,0.262355378,0.545945946,0.5,0.0752652716896006,26.7546682708881,3.77616996764724
"85516",0.334,0.45,0.028,0.188,0,0,0,0,0,0,0,0.656988152,0.332151619,0.353271346,0.589189189,0.5,0.0752634816566198,26.3503953685735,3.9697079135348
"84622",0.304,0.468,0.01,0.218,0,0,0,0,0,0,0,0.737198618,0.249795252,0.29636243,0.564864865,0.5,0.0752520188496348,27.9992627224883,3.16862024924465
"294449",0.396,0.482,0.006,0.116,0,0,0,0,0,0,0,0.500909288,0.307106169,0.224517058,0.640540541,0.5,0.0752506243978591,27.0267227372934,3.64481051302198
"85829",0.314,0.444,0.034,0.208,0,0,0,0,0,0,0,0.698654402,0.337157356,0.379125313,0.597297297,0.5,0.0752493090226927,26.7719964304132,3.7676764368076
"170700",0.448,0.482,0,0.068,0,0,0,0.002,0,0,0,0.361281689,0.329583444,0.15637209,0.589189189,0.5,0.075247494944973,24.4179074048312,4.87460579256456
"42908",0.308,0.46,0.016,0.216,0,0,0,0,0,0,0,0.725745016,0.272883241,0.32026332,0.556756757,0.5,0.0752391145161667,27.5784691333002,3.37599955374513
